prod_ID,good ID,revenue,salaries paid,assets spending,income,dividends,retained,no-cash assets value,cash,units sold,units offered,price exp,time
15,art,175.52696695908094,0,134.2105627564474,41.31640420263355,18.5923818911851,22.72402231144845,211.20174380060652,5181.691375991898,3,3,61.43443843567833,12
16,art,223.18289911999005,0,113.80829884589262,109.37460027409743,49.218570123343845,60.15603015075359,176.1485848804218,5266.042902072488,4,4,58.585511018997394,12
17,art,159.01230941676528,0,119.57119119436621,39.44111822239907,17.748503200079583,21.692615022319487,211.20174380060652,5736.453143746166,3,3,55.65430829586785,12
18,art,139.08812898072202,0,118.3499410847086,20.738187896013415,9.332184553206037,11.406003342807377,203.1642390988487,4918.75958428753,3,3,48.68084514325271,12
19,art,131.98247189758706,0,116.62364054652383,15.35883135106323,6.911474107978454,8.447357243084777,183.02456599501198,5258.066706470496,4,4,34.645398873116605,12
20,pear,240.52946375606103,98.79555228339603,0,141.733911472665,63.78026016269925,77.95365130996575,92.4268221244391,5935.8148959190585,15,15,16.83706246292427,12
21,pear,300.55947894037035,98.53928549119894,0,202.02019344917142,90.90908705212713,111.11110639704428,257.6363593605176,5411.417836260583,21,21,15.027973947018518,12
22,pear,458.566921756313,371.23327627795845,0,87.33364547835453,39.30014046525954,48.03350501309499,172.36051854630264,5291.46409050132,31,31,15.53210541432673,12
23,pear,264.5689390404324,116.56231306259974,0,148.00662597783264,66.60298169002469,81.40364428780795,255.9163484491451,4173.042177456741,21,21,13.228446952021619,12
24,pear,288.22983877857746,79.52727691030071,0,208.70256186827675,93.91615284072454,114.78640902755221,123.68683906392901,6426.385947243822,18,18,16.813407262083686,12
25,pear,382.46864248028123,177.7631444283487,0,204.70549805193252,92.11747412336963,112.58802392856289,86.55869129592058,5748.394721834879,25,25,16.06368298417181,12
26,pear,316.7221841046184,79.58412003526112,0,237.13806406935728,106.71212883121078,130.4259352381465,267.40860860689986,4672.248279206218,23,23,14.459056230863016,12
27,pear,364.3961156134002,158.59558590023602,0,205.80052971316417,92.61023837092387,113.1902913422403,248.9187485166426,5139.699564498603,26,26,14.71599697669501,12
28,pear,381.68904197959864,182.66058405110954,0,199.0284579284891,89.56280606782009,109.46565186066901,103.2120714579772,5833.086101259199,24,24,16.69889558660745,12
29,pear,325.8771227592803,113.29891346939579,0,212.57820928988454,95.66019418044804,116.9180151094365,82.02933209858617,5222.349958890649,22,22,15.553226313511106,12
0,apple,1515.6486698439917,552.0152705057599,0,963.6333993382318,433.6350297022043,529.9983696360275,0.0,8264.643813131685,39,39,40.805925726568994,13
1,apple,1070.3303559597998,625.9503817830883,0,444.37997417671147,199.97098837952015,244.40898579719132,0.0,6134.909363017424,40,40,28.096171843944745,13
2,apple,1203.0469609052998,1055.462804970206,0,147.5841559350938,66.41287017079222,81.17128576430159,0.0,5935.347269401578,47,47,26.876581041501368,13
3,apple,1680.5216758846975,861.6660586065674,0,818.8556172781301,368.4850277751585,450.3705895029716,0.0,7757.18551874338,36,36,49.015215546637,13
4,apple,1271.8386657710162,835.0876353641719,0,436.7510304068443,196.5379636830799,240.21306672376437,0.0,7145.625699174963,47,47,28.413417001267355,13
5,apple,446.6033229717369,801.435196618477,0,-354.8318736467401,0,-354.8318736467401,1778.27042241247,9896.721825767234,9,47,43.505917843504456,13
6,apple,2023.9547203941056,692.8949418806811,0,1331.0597785134246,598.9769003310411,732.0828781823835,83.29135467974096,9866.925156729816,42,44,50.2662630674639,13
7,apple,780.7247669358558,679.1427259179378,0,101.58204101791796,45.71191845806308,55.87012255985488,1082.7876108366327,9355.287902535709,16,42,44.221104336752795,13
8,apple,1730.3208080188003,697.3644567673454,0,1032.956351251455,464.8303580631548,568.1259931883003,0.0,8696.486675419603,41,41,44.313093863896064,13
9,apple,2000.070778580964,674.8723551297878,0,1325.1984234511763,596.3392905530293,728.859132898147,0.0,9478.543894772683,43,43,48.83893761651192,13
10,art,290.25420078698374,0,158.5882270245673,131.66597376241646,59.24968819308741,72.41628556932905,186.82596010089964,5598.162763701722,4,4,76.19172770658324,13
11,art,219.3744381144558,0,92.31599320153273,127.05844491292308,57.176300210815384,69.8821447021077,182.86414659145262,5274.506629350509,3,3,76.78105334005954,13
12,art,224.81449966801262,0,120.09992213973754,104.71457752827507,47.121559887723784,57.59301764055129,197.774409820712,4865.220184630741,4,4,59.013806162853314,13
13,art,144.70201317843276,0,115.39012127151253,29.311891906920238,13.190351358114107,16.12154054880613,192.41967655507608,5315.90644157511,4,4,37.984278459338604,13
14,art,123.91590252522717,0,117.74502170562504,6.170880819602132,2.7768963688209594,3.393984450781173,197.5013899563484,5514.727872863468,4,4,32.52792441287213,13
15,art,245.73775374271332,0,170.54815666453354,75.18959707817979,33.8353186851809,41.354278392998886,197.774409820712,5215.526694677079,4,4,64.50616035746225,13
16,art,175.75653305699217,0,118.1644712979619,57.59206175903027,25.91642779156362,31.675633967466652,206.59546321080978,5291.959329864052,3,3,61.51478656994727,13
17,art,166.96292488760355,0,93.3583701470213,73.60455474058224,33.12204963326201,40.482505107320236,197.774409820712,5769.575193379427,3,3,58.437023710661244,13
18,art,194.72338057301084,0,123.48434275931174,71.2390378136991,32.0575670161646,39.1814707975345,190.24789644910803,4950.817151303694,4,4,51.11488740041535,13
19,art,138.58159549246642,0,137.0772511986194,1.5043442938470264,0.6769549322311619,0.8273893616158645,171.38862052450298,5258.743661402727,4,4,36.377668816772434,13
20,pear,319.90418679556126,128.27577535391478,0,191.62841144164648,86.23278514874092,105.39562629290556,76.13526013984027,6022.047681067802,19,19,17.678915586070485,13
21,pear,315.5874528873889,98.53928549119894,0,217.04816739618997,97.67167532828549,119.37649206790448,208.60023244480416,5509.089511588868,21,21,15.779372644369445,13
22,pear,388.30263535816835,228.88571577037536,0,159.416919587793,71.73761381450684,87.67930577328615,139.6747224510847,5363.201704315832,25,25,16.308710685043067,13
23,pear,264.56893904043227,116.56231306259974,0,148.00662597783253,66.60298169002463,81.4036442878079,206.8660859855109,4239.645159146763,20,20,13.889869299622701,13
24,pear,285.82792345542265,79.52727691030071,0,206.30064654512194,92.83529094530488,113.46535559981706,107.6521809539104,6396.813886813052,17,17,17.65407762518787,13
